ds,y
2020/9/10,6279.196
2020/9/11,5413.8448
2020/9/12,5155.5854
2020/9/13,5550.09
2020/9/14,6368.04
2020/9/15,6212.9886
2020/9/16,5228.496
2020/9/17,6222.1124
2020/9/18,6002.6358
2020/9/19,6191.948
2020/9/20,6678.7812
2020/9/21,5686.7076
2020/9/22,6082.9944
2020/9/23,5761.56
2020/9/24,6362.618069
2020/9/25,6497.011536
2020/9/26,5787.096
2020/9/27,2788.5312
2020/9/28,6123.307126
2020/9/29,5421.361066
2020/9/30,5119.3163
2020/10/1,5515.9356
2020/10/2,6451.431
2020/10/3,5465.901
2020/10/4,6222.205899
2020/10/5,5869.231427
2020/10/6,7098.4095
2020/10/7,5557.393296
2020/10/8,6722.352
2020/10/9,6235.725854
2020/10/10,6450.087567
2020/10/11,5651.032052
2020/10/12,5590.222165
2020/10/13,6283.375392
2020/10/14,6160.212072
2020/10/15,2409.681498
2020/10/16,2510.507645
2020/10/17,2511.141772
2020/10/18,2633.6128
2020/10/19,2810.8752
2020/10/20,5972.189227
2020/10/21,6378.68
2020/10/22,2421.9832
2020/10/23,3111.003
2020/10/24,2871.496228
2020/10/25,3190.7232
2020/10/26,2539.5552
2020/10/27,2714.466893
2020/10/28,5958.365186
2020/10/29,6144.0015
2020/10/30,7469.28
2020/10/31,6852.16
2020/11/1,2784.8737
2020/11/2,2762.144
2020/11/3,3165.1074
2020/11/4,2417.94
2020/11/5,3566.1024
2020/11/6,3640.21
2020/11/7,2885.568
2020/11/8,7407.036
2020/11/9,5978.5362
2020/11/10,2740.0128
2020/11/11,2434.432
2020/11/12,2962.8144
2020/11/13,2737.0336
2020/11/14,3188.808
2020/11/15,2714.796
2020/11/16,2406.06709
2020/11/17,2589.3504
2020/11/18,2435.496
2020/11/19,2665.9584
2020/11/20,3281.093189
2020/11/21,2696.377075
2020/11/22,2577.7927
2020/11/23,3019.7916
2020/11/24,3056.6592
2020/11/25,2678.62
2020/11/26,2823.749515
2020/11/27,3388.253809
2020/11/28,3501.0255
2020/11/29,3050.9136
2020/11/30,2918.685
2020/12/1,2933.7672
2020/12/2,3622.8003
2020/12/3,2629.794397
2020/12/4,2463.129955
2020/12/5,2684.2592
2020/12/6,2741.2896
2020/12/7,3029.8464
2020/12/8,2603.3154
2020/12/9,2997.0486
2020/12/10,2921.6376
2020/12/11,3167.5945
2020/12/12,3167.5945
2020/12/13,3383.354511
2020/12/14,2714.591329
2020/12/15,2585.035107
